Ticker,Sector,,,
MCK,Health Care,,,
MDT,Health Care,,,
MOH,Health Care,,,
MRK,Health Care,,,
MRNA,Health Care,,,
MTD,Health Care,,,
PFE,Health Care,,,
PODD,Health Care,,,
REGN,Health Care,,,
RMD,Health Care,,,
RVTY,Health Care,,,
SOLV,Health Care,,,
STE,Health Care,,,
SYK,Health Care,,,
TECH,Health Care,,,
TMO,Health Care,,,
UHS,Health Care,,,
UNH,Health Care,,,
VRTX,Health Care,,,
VTRS,Health Care,,,
WAT,Health Care,,,
WST,Health Care,,,
ZBH,Health Care,,,
ZTS,Health Care,,,
ADP,Industrials,,,
ALLE,Industrials,,,
AME,Industrials,,,
AOS,Industrials,,,
AXON,Industrials,,,
BA,Industrials,,,
BLDR,Industrials,,,
BR,Industrials,,,
CARR,Industrials,,,
CAT,Industrials,,,
CHRW,Industrials,,,
CMI,Industrials,,,
CPRT,Industrials,,,
CSX,Industrials,,,
CTAS,Industrials,,,
DAL,Industrials,,,
DE,Industrials,,,
DOV,Industrials,,,
EFX,Industrials,,,
EME,Industrials,,,
EMR,Industrials,,,
ETN,Industrials,,,
EXPD,Industrials,,,
FAST,Industrials,,,
FDX,Industrials,,,
FIX,Industrials,,,
FTV,Industrials,,,
GD,Industrials,,,
GE,Industrials,,,
GEV,Industrials,,,
GNRC,Industrials,,,
GWW,Industrials,,,
HII,Industrials,,,
HON,Industrials,,,
HUBB,Industrials,,,
HWM,Industrials,,,
IEX,Industrials,,,
IR,Industrials,,,
ITW,Industrials,,,
J,Industrials,,,
JBHT,Industrials,,,
JCI,Industrials,,,
LDOS,Industrials,,,
LHX,Industrials,,,
LII,Industrials,,,
LMT,Industrials,,,
LUV,Industrials,,,
MAS,Industrials,,,
MMM,Industrials,,,
NDSN,Industrials,,,
NOC,Industrials,,,
NSC,Industrials,,,
ODFL,Industrials,,,
OTIS,Industrials,,,
PAYC,Industrials,,,
PAYX,Industrials,,,
PCAR,Industrials,,,
PH,Industrials,,,
PNR,Industrials,,,
PWR,Industrials,,,
ROK,Industrials,,,
ROL,Industrials,,,
RSG,Industrials,,,
RTX,Industrials,,,
SNA,Industrials,,,
SWK,Industrials,,,
TDG,Industrials,,,
TT,Industrials,,,
TXT,Industrials,,,
UAL,Industrials,,,
UBER,Industrials,,,
UNP,Industrials,,,
UPS,Industrials,,,
URI,Industrials,,,
VLTO,Industrials,,,
VRSK,Industrials,,,
WAB,Industrials,,,
WM,Industrials,,,
XYL,Industrials,,,
AAPL,Information Technology,,,
ACN,Information Technology,,,
ADBE,Information Technology,,,
ADI,Information Technology,,,
ADSK,Information Technology,,,
AKAM,Information Technology,,,
AMAT,Information Technology,,,
AMD,Information Technology,,,
ANET,Information Technology,,,
APH,Information Technology,,,
APP,Information Technology,,,
AVGO,Information Technology,,,
CDNS,Information Technology,,,
CDW,Information Technology,,,
CIEN,Information Technology,,,
CRM,Information Technology,,,
CRWD,Information Technology,,,
CSCO,Information Technology,,,
CTSH,Information Technology,,,
DDOG,Information Technology,,,
DELL,Information Technology,,,
EPAM,Information Technology,,,
FFIV,Information Technology,,,
FICO,Information Technology,,,
FSLR,Information Technology,,,
FTNT,Information Technology,,,
GDDY,Information Technology,,,
GEN,Information Technology,,,
GLW,Information Technology,,,
HPE,Information Technology,,,
HPQ,Information Technology,,,
IBM,Information Technology,,,
INTC,Information Technology,,,
INTU,Information Technology,,,
IT,Information Technology,,,
JBL,Information Technology,,,
KEYS,Information Technology,,,
KLAC,Information Technology,,,
LRCX,Information Technology,,,
MCHP,Information Technology,,,
MPWR,Information Technology,,,
MSFT,Information Technology,,,
MSI,Information Technology,,,
MU,Information Technology,,,
NOW,Information Technology,,,
NTAP,Information Technology,,,
NVDA,Information Technology,,,
NXPI,Information Technology,,,
ON,Information Technology,,,
ORCL,Information Technology,,,
PANW,Information Technology,,,
PLTR,Information Technology,,,
PTC,Information Technology,,,
Q,Information Technology,,,
QCOM,Information Technology,,,
ROP,Information Technology,,,
SMCI,Information Technology,,,
SNDK,Information Technology,,,
SNPS,Information Technology,,,
STX,Information Technology,,,
SWKS,Information Technology,,,
TDY,Information Technology,,,
TEL,Information Technology,,,
TER,Information Technology,,,
TRMB,Information Technology,,,
TXN,Information Technology,,,
TYL,Information Technology,,,
VRSN,Information Technology,,,
WDAY,Information Technology,,,
WDC,Information Technology,,,
ZBRA,Information Technology,,,
ALB,Materials,,,
AMCR,Materials,,,
APD,Materials,,,
AVY,Materials,,,
BALL,Materials,,,
CF,Materials,,,
CRH,Materials,,,
CTVA,Materials,,,
DD,Materials,,,
DOW,Materials,,,
ECL,Materials,,,
FCX,Materials,,,
IFF,Materials,,,
IP,Materials,,,
LIN,Materials,,,
LYB,Materials,,,
MLM,Materials,,,
MOS,Materials,,,
NEM,Materials,,,
NUE,Materials,,,
PKG,Materials,,,
PPG,Materials,,,
SHW,Materials,,,
STLD,Materials,,,
SW,Materials,,,
VMC,Materials,,,
AMT,Real Estate,,,
ARE,Real Estate,,,
AVB,Real Estate,,,
BXP,Real Estate,,,
CBRE,Real Estate,,,
CCI,Real Estate,,,
CPT,Real Estate,,,
CSGP,Real Estate,,,
DLR,Real Estate,,,
DOC,Real Estate,,,
EQIX,Real Estate,,,
EQR,Real Estate,,,
ESS,Real Estate,,,
EXR,Real Estate,,,
FRT,Real Estate,,,
HST,Real Estate,,,
INVH,Real Estate,,,
IRM,Real Estate,,,
KIM,Real Estate,,,
MAA,Real Estate,,,
O,Real Estate,,,
PLD,Real Estate,,,
PSA,Real Estate,,,
REG,Real Estate,,,
SBAC,Real Estate,,,
SPG,Real Estate,,,
UDR,Real Estate,,,
VICI,Real Estate,,,
VTR,Real Estate,,,
WELL,Real Estate,,,
WY,Real Estate,,,
AEE,Utilities,,,
AEP,Utilities,,,
AES,Utilities,,,
ATO,Utilities,,,
AWK,Utilities,,,
CEG,Utilities,,,
CMS,Utilities,,,
CNP,Utilities,,,
D,Utilities,,,
DTE,Utilities,,,
DUK,Utilities,,,
ED,Utilities,,,
EIX,Utilities,,,
ES,Utilities,,,
ETR,Utilities,,,
EVRG,Utilities,,,
EXC,Utilities,,,
FE,Utilities,,,
LNT,Utilities,,,
NEE,Utilities,,,
NI,Utilities,,,
NRG,Utilities,,,
PCG,Utilities,,,
PEG,Utilities,,,
PNW,Utilities,,,
PPL,Utilities,,,
SO,Utilities,,,
SRE,Utilities,,,
VST,Utilities,,,
WEC,Utilities,,,
XEL,Utilities,,,
